0.000,-5.0273
0.005,-5.0067
0.010,-4.9862
0.015,-4.9554
0.020,-4.9348
0.025,-4.9040
0.030,-4.8732
0.035,-4.8527
0.040,-4.8219
0.045,-4.7911
0.050,-4.7602
0.055,-4.7397
0.060,-4.7089
0.065,-4.6781
0.070,-4.6473
0.075,-4.6062
0.080,-4.5754
0.085,-4.5343
0.090,-4.5035
0.095,-4.4624
0.100,-4.4213
0.105,-4.3802
0.110,-4.3392
0.115,-4.3083
0.120,-4.2673
0.125,-4.2365
0.130,-4.1954
0.135,-4.1543
0.140,-4.1132
0.145,-4.0721
0.150,-4.0310
0.155,-3.9900
0.160,-3.9489
0.165,-3.9078
0.170,-3.8565
0.175,-3.8154
0.180,-3.7640
0.185,-3.7229
0.190,-3.6819
0.195,-3.6305
0.200,-3.5792
0.205,-3.5381
0.210,-3.4867
0.215,-3.4251
0.220,-3.3840
0.225,-3.3327
0.230,-3.2710
0.235,-3.2300
0.240,-3.1683
0.245,-3.1273
0.250,-3.0759
0.255,-3.0246
0.260,-2.9732
0.265,-2.9116
0.270,-2.8602
0.275,-2.8089
0.280,-2.7473
0.285,-2.6959
0.290,-2.6343
0.295,-2.5829
0.300,-2.5213
0.305,-2.4597
0.310,-2.4083
0.315,-2.3467
0.320,-2.2851
0.325,-2.2337
0.330,-2.1824
0.335,-2.1208
0.340,-2.0591
0.345,-1.9975
0.350,-1.9359
0.355,-1.8743
0.360,-1.8127
0.365,-1.7510
0.370,-1.6894
0.375,-1.6278
0.380,-1.5662
0.385,-1.5046
0.390,-1.4429
0.395,-1.3813
0.400,-1.3197
0.405,-1.2683
0.410,-1.2067
0.415,-1.1451
0.420,-1.0835
0.425,-1.0321
0.430,-0.9602
0.435,-0.8986
0.440,-0.8370
0.445,-0.7754
0.450,-0.7137
0.455,-0.6521
0.460,-0.5802
0.465,-0.5186
0.470,-0.4570
0.475,-0.3954
0.480,-0.3235
0.485,-0.2618
0.490,-0.2002
0.495,-0.1386
0.500,-0.0770
0.505,-0.0051
0.510,0.0565
0.515,0.1182
0.520,0.1798
0.525,0.2414
0.530,0.3030
0.535,0.3544
0.540,0.4160
0.545,0.4776
0.550,0.5392
0.555,0.5906
0.560,0.6625
0.565,0.7138
0.570,0.7755
0.575,0.8371
0.580,0.8884
0.585,0.9501
0.590,1.0117
0.595,1.0733
0.600,1.1349
0.605,1.1863
0.610,1.2479
0.615,1.3095
0.620,1.3711
0.625,1.4225
0.630,1.4841
0.635,1.5355
0.640,1.5971
0.645,1.6484
0.650,1.6998
0.655,1.7511
0.660,1.8128
0.665,1.8641
0.670,1.9155
0.675,1.9771
0.680,2.0284
0.685,2.0798
0.690,2.1311
0.695,2.1825
0.700,2.2338
0.705,2.2852
0.710,2.3365
0.715,2.3879
0.720,2.4392
0.725,2.4803
0.730,2.5214
0.735,2.5625
0.740,2.6138
0.745,2.6652
0.750,2.7063
0.755,2.7576
0.760,2.8090
0.765,2.8501
0.770,2.8911
0.775,2.9322
0.780,2.9836
0.785,3.0247
0.790,3.0657
0.795,3.1068
0.800,3.1376
0.805,3.1787
0.810,3.2095
0.815,3.2506
0.820,3.2917
0.825,3.3328
0.830,3.3636
0.835,3.4047
0.840,3.4355
0.845,3.4766
0.850,3.4971
0.855,3.5279
0.860,3.5690
0.865,3.5998
0.870,3.6306
0.875,3.6614
0.880,3.6922
0.885,3.7230
0.890,3.7436
0.895,3.7641
0.900,3.7949
0.905,3.8257
0.910,3.8566
0.915,3.8771
0.920,3.9079
0.925,3.9284
0.930,3.9490
0.935,3.9798
0.940,4.0003
0.945,4.0209
0.950,4.0517
0.955,4.0722
0.960,4.0928
0.965,4.1133
0.970,4.1236
0.975,4.1441
0.980,4.1544
0.985,4.1749
0.990,4.1955
0.995,4.2057
1.000,4.2263
1.005,4.2366
1.010,4.2468
1.015,4.2571
1.020,4.2776
1.025,4.2879
1.030,4.2982
1.035,4.3084
1.040,4.3187
1.045,4.3290
1.050,4.3290
1.055,4.3290
1.060,4.3393
1.065,4.3495
1.070,4.3495
1.075,4.3598
1.080,4.3701
1.085,4.3701
1.090,4.3701
1.095,4.3598
1.100,4.3701
1.105,4.3701
1.110,4.3701
1.115,4.3701
1.120,4.3701
1.125,4.3598
1.130,4.3598
1.135,4.3393
1.140,4.3393
1.145,4.3393
1.150,4.3290
1.155,4.3290
1.160,4.3187
1.165,4.3187
1.170,4.3084
1.175,4.2982
1.180,4.2879
1.185,4.2879
1.190,4.2776
1.195,4.2674
1.200,4.2674
1.205,4.2571
1.210,4.2366
1.215,4.2263
1.220,4.2160
1.225,4.1955
1.230,4.1852
1.235,4.1647
1.240,4.1544
1.245,4.1339
1.250,4.1133
1.255,4.0928
1.260,4.0722
1.265,4.0620
1.270,4.0414
1.275,4.0311
1.280,4.0106
1.285,3.9901
1.290,3.9695
1.295,3.9490
1.300,3.9182
1.305,3.8976
1.310,3.8874
1.315,3.8668
1.320,3.8463
1.325,3.8257
1.330,3.8052
1.335,3.7744
1.340,3.7538
1.345,3.7230
1.350,3.7025
1.355,3.6820
1.360,3.6511
1.365,3.6306
1.370,3.6101
1.375,3.5793
1.380,3.5484
1.385,3.5279
1.390,3.4971
1.395,3.4766
1.400,3.4560
1.405,3.4252
1.410,3.4047
1.415,3.3738
1.420,3.3430
1.425,3.3122
1.430,3.2917
1.435,3.2609
1.440,3.2301
1.445,3.1993
1.450,3.1684
1.455,3.1376
1.460,3.1068
1.465,3.0760
1.470,3.0555
1.475,3.0247
